Text,Label,Source,Sentiment,Predicted_Sentiment,Sentiment_Score
Doesn't do the job.,0,Amazon,Negative,Neutral,0.0
I would recommend it.,1,Amazon,Positive,Positive,0.3612
Plan on ordering from them again and again.,1,Amazon,Positive,Neutral,0.0
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,Amazon,Positive,Positive,0.8464
I have been very satisfied with this cell phone from day one.,1,Amazon,Positive,Positive,0.4754
They keep getting better and better (this is my third one and I've had numerous Palms too).,1,Amazon,Positive,Positive,0.7003
Awkward to use and unreliable.,0,Amazon,Negative,Negative,-0.1531
The shipping time was also very quick!,1,Amazon,Positive,Neutral,0.0
Not as good as I had hoped.,0,Amazon,Negative,Positive,0.05
Good case!.,1,Amazon,Positive,Positive,0.4926
Doesn't Work.,0,Amazon,Negative,Neutral,0.0
Really good product.,1,Amazon,Positive,Positive,0.4927
Unfortunately it did not work.,0,Amazon,Negative,Negative,-0.34
All three broke within two months of use.,0,Amazon,Negative,Negative,-0.4215
dont buy it.,0,Amazon,Negative,Neutral,0.0
"My father has the V265, and the battery is dying.",0,Amazon,Negative,Neutral,0.0
"However, the ear pads come off easily and after only one week I lost one.",0,Amazon,Negative,Neutral,0.0258
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,Amazon,Negative,Negative,-0.7783
"Horrible, horrible protector.",0,Amazon,Negative,Negative,-0.7906
I don't like this Nokia either.,0,Amazon,Negative,Negative,-0.2755
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,Amazon,Negative,Negative,-0.2023
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,Amazon,Negative,Neutral,0.0
It would take too long to describe how bad my customer service experience has been with Amazon.,0,Amazon,Negative,Negative,-0.4215
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,Amazon,Negative,Negative,-0.8767
Terrible.. My car will not accept this cassette.,0,Amazon,Negative,Negative,-0.6467
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,Amazon,Negative,Negative,-0.4215
It's not what it says it is.,0,Amazon,Negative,Neutral,0.0
Stay Away From the Q!.,0,Amazon,Negative,Neutral,0.0
Used and dirty.,0,Amazon,Negative,Negative,-0.4404
Very unreliable service from T-mobile !,0,Amazon,Negative,Neutral,0.0
Not good enough for the price.,0,Amazon,Negative,Negative,-0.3412
I bought two of them and neither will charge.,0,Amazon,Negative,Neutral,0.0
It looks very nice.,1,Amazon,Positive,Positive,0.4754
"This is an excellent tool, especially when paired with your phone's auto-answer.",1,Amazon,Positive,Positive,0.5719
I have read other's reviews here but I haven't had any problem with it.,1,Amazon,Positive,Positive,0.438
These products cover up the important light sensor above the ear outlet.,0,Amazon,Negative,Positive,0.2023
Comfortable in my hand.,1,Amazon,Positive,Positive,0.7579
Just does not work.,0,Amazon,Negative,Neutral,0.0
Poor Reliability.,0,Amazon,Negative,Negative,-0.4767
(It works!),1,Amazon,Positive,Neutral,0.0
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,Amazon,Negative,Neutral,0.0
"Terrible product, and waste of money!",0,Amazon,Negative,Negative,-0.7345
Last time buying from you.,0,Amazon,Negative,Neutral,0.0
It was a waste of my money.,0,Amazon,Negative,Negative,-0.4215
So far it has worked like a charm.,1,Amazon,Positive,Positive,0.6369
"I have only had it for a few weeks, but so far, so good.",1,Amazon,Positive,Positive,0.7654
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,Amazon,Positive,Positive,0.7783
Would recommend this item.,1,Amazon,Positive,Positive,0.3612
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,Amazon,Positive,Positive,0.7003
"Nice case, feels good in your hands.",1,Amazon,Positive,Positive,0.6908
The item received was Counterfeit.,0,Amazon,Negative,Neutral,0.0
"Just really good.. So far, probably the best BT headset I have ever had.",1,Amazon,Positive,Positive,0.8122
Works fine.,1,Amazon,Positive,Positive,0.2023
I received my headset in good time and was happy with it.,1,Amazon,Positive,Positive,0.765
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,Amazon,Positive,Positive,0.6478
My sister has one also and she loves it.,1,Amazon,Positive,Positive,0.5719
Good Quality.,1,Amazon,Positive,Positive,0.4404
This is by far the worst purchase I've made on Amazon.,0,Amazon,Negative,Negative,-0.5267
Excellent dual-purpose headset.,1,Amazon,Positive,Positive,0.5719
Excellent!.,1,Amazon,Positive,Positive,0.6114
Does not work for listening to music with the cingular 8125.,0,Amazon,Negative,Neutral,0.0
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,Amazon,Positive,Positive,0.4005
"The bottowm line...another worthless, cheap gimmick from Sprint.",0,Amazon,Negative,Negative,-0.4404
Having trouble with volume.,0,Amazon,Negative,Negative,-0.4019
The only good thing was that it fits comfortably on small ears.,1,Amazon,Positive,Positive,0.6908
WARNING - DO NOT BUY!!.,0,Amazon,Negative,Negative,-0.5743
"I am pairing this with my iphone, and I could not be happier with it so far.",1,Amazon,Positive,Negative,-0.4168
"When it opens, the battery connection is broken and the device is turned off.",0,Amazon,Negative,Negative,-0.4767
"I didn't want the clip going over the top of my ear, causing discomfort.",0,Amazon,Negative,Negative,-0.3009
Best headset ever!!!.,1,Amazon,Positive,Positive,0.7249
Don't trust their website and don't expect any helpful support.,0,Amazon,Negative,Negative,-0.3257
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,Amazon,Positive,Positive,0.2732
The speaker is of low quality so as making the ring tones sound very cheap.,0,Amazon,Negative,Negative,-0.2732
"Fits comfortably, came with three sizes of earbud tips.",1,Amazon,Positive,Positive,0.4215
Excellent product for the price.,1,Amazon,Positive,Positive,0.5719
Bad Reception.,0,Amazon,Negative,Negative,-0.5423
This product is very High quality Chinese CRAP!!!!!!,0,Amazon,Negative,Negative,-0.6706
It was quite comfortable in the ear.,1,Amazon,Positive,Positive,0.5563
Great phone.,1,Amazon,Positive,Positive,0.6249
Don't buy this product - It fails!.,0,Amazon,Negative,Negative,-0.4753
Everything about this product is wrong.First,0,Amazon,Negative,Neutral,0.0
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,Amazon,Positive,Positive,0.5777
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,Amazon,Negative,Negative,-0.3657
Terrible phone holder.,0,Amazon,Negative,Negative,-0.4767
The cutouts and buttons are placed perfectly.,1,Amazon,Positive,Positive,0.6369
I love being able to use one headset for both by land-line and cell.,1,Amazon,Positive,Positive,0.6369
Problem is that the ear loops are made of weak material and break easily.,0,Amazon,Negative,Negative,-0.4939
Not nearly as good looking as the AMAZON picture makes it look.,0,Amazon,Negative,Neutral,0.007
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,Amazon,Positive,Positive,0.6592
How stupid is that?,0,Amazon,Negative,Negative,-0.5267
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,Amazon,Positive,Neutral,0.0
Seller shipped quickly and much cheaper than the competitors.,1,Amazon,Positive,Neutral,0.0
"Good show, Samsung.",1,Amazon,Positive,Positive,0.4404
So I bought about 10 of these and saved alot of money.,1,Amazon,Positive,Positive,0.4215
It always cuts out and makes a beep beep beep sound then says signal failed.,0,Amazon,Negative,Negative,-0.6705
Couldn't figure it out,0,Amazon,Negative,Neutral,0.0
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,Amazon,Negative,Neutral,-0.0466
So I had to take the battery out of the phone put it all back together and then restart it.,0,Amazon,Negative,Neutral,0.0
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,Amazon,Negative,Negative,-0.5994
Leopard Print is wonderfully wild!.,1,Amazon,Positive,Positive,0.636
Works for me.,1,Amazon,Positive,Neutral,0.0
"Saggy, floppy piece of junk.",0,Amazon,Negative,Neutral,0.0
much better than the hard plastic cases.,1,Amazon,Positive,Positive,0.3612
It also had a new problem.,0,Amazon,Negative,Negative,-0.4019
Happy so far!.,1,Amazon,Positive,Positive,0.6114
cool phone.,1,Amazon,Positive,Positive,0.3182
Works good.,1,Amazon,Positive,Positive,0.4404
Motorola finally got the voice quality of a bluetooth headset right.,1,Amazon,Positive,Neutral,0.0
It looses connection to the phone even when it is within a couple feet between the two.,0,Amazon,Negative,Negative,-0.1531
"but it is great, i would really recommend it",1,Amazon,Positive,Positive,0.8844
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,Amazon,Negative,Positive,0.4215
As I said above....PRETTY USELESS!,0,Amazon,Negative,Negative,-0.5893
Never got it!!!!!,0,Amazon,Negative,Neutral,0.0
This pair of headphones is the worst that I have ever had sound-wise.,0,Amazon,Negative,Negative,-0.6249
[...] down the drain because of a weak snap!,0,Amazon,Negative,Negative,-0.4926
Does not charge the Cingular (ATT) 8525 phone.,0,Amazon,Negative,Neutral,0.0
"You get extra minutes so that you can carry out the call and not get cut off.""",1,Amazon,Positive,Positive,0.2057
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,Amazon,Negative,Negative,-0.3182
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,Amazon,Negative,Neutral,0.0
The headset fulfills my requirements so I am happy with my purchase.,1,Amazon,Positive,Positive,0.7152
Logitech Bluetooth Headset is a 10!.,1,Amazon,Positive,Neutral,0.0
"I like the fact that it rests lightly against your ear, rather than inside.",1,Amazon,Positive,Positive,0.3612
A lot of websites have been rating this a very good phone and so do I.,1,Amazon,Positive,Positive,0.4927
I have tried these cables with my computer and my iPod and it works just fine.,1,Amazon,Positive,Positive,0.2023
"The mic there is a joke, and the volume is quite low.",0,Amazon,Negative,Neutral,-0.0498
I'm returning them.,0,Amazon,Negative,Neutral,0.0
I does not maintain a connection with the computer while it is on my lap.,0,Amazon,Negative,Neutral,0.0
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,Amazon,Positive,Positive,0.4404
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,Amazon,Positive,Neutral,0.0
"Otherwise, easy to install and use, clear sound.",1,Amazon,Positive,Positive,0.6705
nice leather.,1,Amazon,Positive,Positive,0.4215
I had to purchase a different case.,0,Amazon,Negative,Neutral,0.0
It is a joy to use.,1,Amazon,Positive,Positive,0.5859
Very much disappointed with this company.,0,Amazon,Negative,Negative,-0.5233
Very satisifed with that.,1,Amazon,Positive,Neutral,0.0
It didn't charge for me.,0,Amazon,Negative,Neutral,0.0
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,Amazon,Positive,Positive,0.7027
Buttons are too small.,0,Amazon,Negative,Neutral,0.0
Just reading on the specs alone makes you say WOW.,1,Amazon,Positive,Positive,0.5473
Love it.. Great armband.,1,Amazon,Positive,Positive,0.8519
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,Amazon,Positive,Positive,0.4201
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,Amazon,Negative,Negative,-0.4588
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,Amazon,Positive,Positive,0.7845
I was very impressed with the price of the cases.,1,Amazon,Positive,Positive,0.5256
Also makes it easier to hold on to.,1,Amazon,Positive,Positive,0.4215
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1,Amazon,Positive,Positive,0.6588
It's pretty easy.,1,Amazon,Positive,Positive,0.7269
I cannot make calls at certain places.,0,Amazon,Negative,Positive,0.2732
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,Amazon,Negative,Negative,-0.5588
Beautiful styling though.,1,Amazon,Positive,Positive,0.5994
This company charge me a restocking fee and still not given me my refund back.,0,Amazon,Negative,Neutral,0.0
I'm trying to return it for a refund.,0,Amazon,Negative,Neutral,0.0
I plugged it in only to find out not a darn thing worked.,0,Amazon,Negative,Neutral,0.0
Excellent product.,1,Amazon,Positive,Positive,0.5719
Earbud piece breaks easily.,0,Amazon,Negative,Positive,0.34
Lousy product.,0,Amazon,Negative,Negative,-0.5423
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0,Amazon,Negative,Negative,-0.1672
It is the best charger I have seen on the market yet.,1,Amazon,Positive,Positive,0.6369
SWEETEST PHONE!!!,1,Amazon,Positive,Neutral,0.0
":-)Oh, the charger seems to work fine.",1,Amazon,Positive,Positive,0.2023
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,Amazon,Positive,Positive,0.7198
Not enough volume.,0,Amazon,Negative,Neutral,0.0
Echo Problem....Very unsatisfactory,0,Amazon,Negative,Neutral,0.0
you could only take 2 videos at a time and the quality was very poor.,0,Amazon,Negative,Negative,-0.5256
don't waste your money.,0,Amazon,Negative,Positive,0.3252
I am going to have to be the first to negatively review this product.,0,Amazon,Negative,Neutral,0.0
Adapter does not provide enough charging current.,0,Amazon,Negative,Neutral,0.0
"There was so much hype over this phone that I assumed it was the best, my mistake.",0,Amazon,Negative,Positive,0.4215
You also cannot take pictures with it in the case because the lense is covered.,0,Amazon,Negative,Neutral,0.0
Phone falls out easily.,0,Amazon,Negative,Positive,0.34
"It didn't work, people can not hear me when I talk.",0,Amazon,Negative,Neutral,0.0
The text messaging feature is really tricky to use.,0,Amazon,Negative,Negative,-0.2247
I'm really disappointed all I have now is a charger that doesn't work.,0,Amazon,Negative,Negative,-0.5256
Painful on the ear.,0,Amazon,Negative,Negative,-0.4404
Lasted one day and then blew up.,0,Amazon,Negative,Neutral,0.0
disappointed.,0,Amazon,Negative,Negative,-0.4767
Kind of flops around.,0,Amazon,Negative,Negative,-0.34
The screen does get smudged easily because it touches your ear and face.,0,Amazon,Negative,Positive,0.34
What a piece of junk.. I lose more calls on this phone.,0,Amazon,Negative,Negative,-0.4019
Item Does Not Match Picture.,0,Amazon,Negative,Neutral,0.0
The only thing that disappoint me is the infra red port (irda).,0,Amazon,Negative,Negative,-0.4019
"You can not answer calls with the unit, never worked once!",0,Amazon,Negative,Neutral,0.0
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,IMDb,Negative,Negative,-0.4215
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,IMDb,Negative,Negative,-0.5507
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,IMDb,Negative,Negative,-0.7178
Very little music or anything to speak of.  ,0,IMDb,Negative,Neutral,0.0
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,IMDb,Positive,Positive,0.6369
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,IMDb,Negative,Negative,-0.25
Wasted two hours.  ,0,IMDb,Negative,Negative,-0.4939
"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,IMDb,Positive,Positive,0.7003
A bit predictable.  ,0,IMDb,Negative,Neutral,0.0
Loved the casting of Jimmy Buffet as the science teacher.  ,1,IMDb,Positive,Positive,0.5994
And those baby owls were adorable.  ,1,IMDb,Positive,Positive,0.4939
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,IMDb,Positive,Positive,0.6369
The Songs Were The Best And The Muppets Were So Hilarious.  ,1,IMDb,Positive,Positive,0.8267
It Was So Cool.  ,1,IMDb,Positive,Positive,0.4572
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,IMDb,Positive,Neutral,0.0
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,IMDb,Negative,Positive,0.1531
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,IMDb,Positive,Positive,0.6369
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,IMDb,Positive,Neutral,0.0
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1,IMDb,Positive,Positive,0.9337
" The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Québec.  ",0,IMDb,Negative,Positive,0.999
This if the first movie I've given a 10 to in years.  ,1,IMDb,Positive,Neutral,0.0
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,IMDb,Positive,Positive,0.3818
"Overall, the film is interesting and thought-provoking.  ",1,IMDb,Positive,Positive,0.4019
"Plus, it was well-paced and suited its relatively short run time.  ",1,IMDb,Positive,Neutral,0.0
Give this one a look.  ,1,IMDb,Positive,Neutral,0.0
I gave it a 10  ,1,IMDb,Positive,Neutral,0.0
The Wind and the Lion is well written and superbly acted.  ,1,IMDb,Positive,Positive,0.2732
It is a true classic.  ,1,IMDb,Positive,Positive,0.4215
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,IMDb,Positive,Positive,0.4939
Definitely worth checking out.  ,1,IMDb,Positive,Positive,0.5574
The problem was the script.  ,0,IMDb,Negative,Negative,-0.4019
It was horrendous.  ,0,IMDb,Negative,Negative,-0.5859
There was NOTHING believable about it at all.  ,0,IMDb,Negative,Neutral,0.0
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,IMDb,Negative,Negative,-0.743
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,IMDb,Positive,Positive,0.7983
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,IMDb,Positive,Positive,0.4404
The cast of veteran actors are more than just a nostalgia trip.  ,1,IMDb,Positive,Neutral,0.0
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,IMDb,Positive,Positive,0.7351
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,IMDb,Positive,Positive,0.7184
I don't think you will be disappointed.  ,1,IMDb,Positive,Negative,-0.4767
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,IMDb,Negative,Negative,-0.7979
"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,IMDb,Negative,Negative,-0.7624
"It was too predictable, even for a chick flick.  ",0,IMDb,Negative,Neutral,0.0
Too politically correct.  ,0,IMDb,Negative,Neutral,0.0
Very disappointing.  ,0,IMDb,Negative,Negative,-0.5413
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,IMDb,Positive,Positive,0.7264
"I love Lane, but I've never seen her in a movie this lousy.  ",0,IMDb,Negative,Negative,-0.6234
An hour and a half I wish I could bring back.  ,0,IMDb,Negative,Positive,0.4019
But in terms of the writing it's very fresh and bold.  ,1,IMDb,Positive,Positive,0.8012
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,IMDb,Positive,Positive,0.92
The directing and the cinematography aren't quite as good.  ,0,IMDb,Negative,Negative,-0.3843
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,IMDb,Negative,Negative,-0.5079
"), and sometimes it was so embarrassing that I had to look away.  ",0,IMDb,Negative,Negative,-0.5214
The directing seems too pretentious.  ,0,IMDb,Negative,Neutral,0.0
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,IMDb,Negative,Neutral,0.0
And generally the lines and plot is weaker than the average episode.  ,0,IMDb,Negative,Negative,-0.4404
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,IMDb,Negative,Negative,-0.9359
"Some applause should be given to the ""prelude"" however.  ",1,IMDb,Positive,Positive,0.4215
I really liked that.  ,1,IMDb,Positive,Positive,0.4754
A great film by a great director.  ,1,IMDb,Positive,Positive,0.8481
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,IMDb,Positive,Neutral,0.0
The music in the film is really nice too.  ,1,IMDb,Positive,Positive,0.4754
I'd advise anyone to go and see it.  ,1,IMDb,Positive,Neutral,0.0
Brilliant!  ,1,IMDb,Positive,Positive,0.6239
10/10  ,1,IMDb,Positive,Neutral,0.0
I liked this movie way too much.  ,1,IMDb,Positive,Positive,0.4215
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,IMDb,Negative,Negative,-0.765
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,IMDb,Positive,Positive,0.0516
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,IMDb,Negative,Negative,-0.3804
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,IMDb,Negative,Negative,-0.4466
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,IMDb,Negative,Negative,-0.5994
"This was a poor remake of ""My Best Friends Wedding"".  ",0,IMDb,Negative,Positive,0.6369
"All in all, a great disappointment.  ",0,IMDb,Negative,Positive,0.2023
"I cannot believe that the actors agreed to do this ""film"".  ",0,IMDb,Negative,Positive,0.2732
I could not stand to even watch it for very long for fear of losing I.Q.  ,0,IMDb,Negative,Negative,-0.7239
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,IMDb,Negative,Neutral,0.0
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,IMDb,Negative,Negative,-0.8316
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,IMDb,Negative,Neutral,0.0
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,IMDb,Negative,Negative,-0.7184
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,IMDb,Negative,Negative,-0.296
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,IMDb,Negative,Neutral,0.0258
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,IMDb,Negative,Negative,-0.6003
"You can't relate with them, hell you barely can understand them.  ",0,IMDb,Negative,Negative,-0.6808
This is definitely a cult classic well worth viewing and sharing with others.  ,1,IMDb,Positive,Positive,0.8176
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,IMDb,Negative,Negative,-0.9313
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,IMDb,Negative,Negative,-0.4767
"A truly, truly bad film.  ",0,IMDb,Negative,Positive,0.3182
"The acting is terrible, and the writing is worse.  ",0,IMDb,Negative,Negative,-0.7351
The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,IMDb,Negative,Positive,0.3182
I paid too much.  ,0,IMDb,Negative,Neutral,0.0
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,IMDb,Positive,Positive,0.2732
It was so BORING!  ,0,IMDb,Negative,Negative,-0.6369
No plot whatsoever!  ,0,IMDb,Negative,Negative,-0.3595
"Again, no plot at all.  ",0,IMDb,Negative,Negative,-0.296
Horrible!  ,0,IMDb,Negative,Negative,-0.5848
Worst hour and a half of my life!Oh my gosh!  ,0,IMDb,Negative,Negative,-0.6892
I had to walk out of the theatre for a few minutes just to get some relief!  ,0,IMDb,Negative,Positive,0.5255
I hate movies like that.  ,0,IMDb,Negative,Negative,-0.296
"Yeah, the movie pretty much sucked.  ",0,IMDb,Negative,Positive,0.34
THERE IS NO PLOT OR STORYLINE!!  ,0,IMDb,Negative,Negative,-0.4184
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,IMDb,Negative,Neutral,0.0
Awful.  ,0,IMDb,Negative,Negative,-0.4588
I don't think I've ever gone to a movie and disliked it as much.  ,0,IMDb,Negative,Negative,-0.4019
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,IMDb,Negative,Negative,-0.5106
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,IMDb,Negative,Neutral,0.0
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,IMDb,Negative,Negative,-0.0772
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,IMDb,Negative,Negative,-0.9593
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,IMDb,Positive,Positive,0.6124
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,IMDb,Negative,Neutral,0.0
